ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
27942,200000.0,2,2,2,27,0,0,-1,-1,-2,-2,0.0,0.0,0.0,5000.0,18834.0,60000.0,0.0,0.0,0.0
4342,50000.0,1,2,1,32,0,0,0,0,0,0,17459.0,17825.0,18193.0,1998.0,3000.0,625.0,647.0,664.0,649.0
17333,50000.0,2,2,1,29,0,0,0,0,0,0,24654.0,26365.0,25844.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
27601,100000.0,2,1,2,28,0,0,0,0,-1,0,16158.0,6700.0,7730.0,5800.0,6000.0,4375.0,6700.0,3000.0,0.0
23311,20000.0,2,2,1,46,1,2,0,0,-2,-2,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
24791,320000.0,1,2,1,35,0,0,0,0,0,0,10853.0,11755.0,7559.0,1526.0,1600.0,1098.0,1000.0,272.0,300.0
12205,500000.0,1,1,1,43,-1,-1,-1,-1,0,-1,8722.0,4137.0,4123.0,5864.0,4465.0,8724.0,0.0,4123.0,7124.0
27136,500000.0,1,2,1,47,-1,-1,-1,-1,-1,-1,5674.0,11416.0,36000.0,18011.0,12818.0,5674.0,11416.0,36018.0,14537.0
29742,100000.0,1,2,1,32,0,0,0,0,0,0,43360.0,41906.0,42831.0,2454.0,2700.0,1712.0,1500.0,1600.0,1600.0
3407,170000.0,2,1,2,26,0,0,0,0,0,0,33153.0,24969.0,22893.0,4000.0,2006.0,1000.0,1000.0,1000.0,1000.0
2539,250000.0,2,1,1,42,0,0,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27399,180000.0,1,2,2,41,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,900.0,910.0,0.0,0.0,0.0,0.0
1078,500000.0,1,1,2,35,-1,0,-1,-1,-1,0,34469.0,27425.0,28506.0,58761.0,13976.0,34828.0,28289.0,18175.0,17500.0
24676,410000.0,1,1,1,40,-1,-1,-1,2,-1,-1,8906.0,10491.0,9347.0,18612.0,8944.0,7.0,10491.0,9347.0,9727.0
16712,20000.0,1,2,1,33,0,0,0,2,2,-2,18828.0,0.0,0.0,1275.0,3081.0,0.0,0.0,0.0,0.0
18643,90000.0,2,2,2,26,0,0,0,2,0,0,89866.0,48574.0,41746.0,4100.0,8548.0,0.0,1527.0,1617.0,1490.0
7369,30000.0,2,2,2,27,2,2,2,2,2,2,16518.0,16907.0,17279.0,1500.0,800.0,700.0,800.0,800.0,800.0
2021,230000.0,2,2,1,38,0,0,0,0,0,0,10466.0,9426.0,8099.0,1364.0,1393.0,2003.0,1000.0,1000.0,500.0
6629,380000.0,1,2,1,31,-1,-1,-1,-1,-1,-1,11865.0,13133.0,4702.0,7959.0,9683.0,11916.0,13191.0,4717.0,9354.0
10222,50000.0,1,2,2,41,0,0,0,0,0,0,44619.0,45900.0,46845.0,3000.0,1729.0,1597.0,2000.0,1709.0,1665.0
24399,180000.0,1,1,2,32,1,-1,-1,-2,-2,-2,-35.0,-335.0,-335.0,144.0,0.0,0.0,0.0,0.0,0.0
15958,200000.0,2,3,1,29,2,2,2,2,0,0,128669.0,131499.0,143020.0,6000.0,4600.0,0.0,4800.0,13700.0,500.0
1233,50000.0,1,1,1,47,0,0,2,2,2,2,50807.0,49947.0,50424.0,3000.0,3000.0,2000.0,0.0,5000.0,0.0
5316,330000.0,2,2,2,28,0,0,0,0,0,0,41767.0,42501.0,43359.0,1500.0,2600.0,1500.0,1400.0,1400.0,1500.0
9483,280000.0,2,1,1,47,0,0,0,0,-1,0,194345.0,161084.0,174622.0,20000.0,15000.0,0.0,161084.0,15000.0,20000.0
25066,240000.0,1,3,1,50,0,0,0,0,0,0,128921.0,120048.0,121292.0,4754.0,4873.0,5033.0,4204.0,4509.0,5009.0
19182,50000.0,2,1,2,35,0,0,0,0,0,0,12159.0,9581.0,15222.0,7000.0,8000.0,9400.0,1000.0,6000.0,3000.0
22150,320000.0,2,1,2,29,-2,-1,2,-1,-1,-1,2518.0,255.0,1945.0,192.0,0.0,2518.0,255.0,1945.0,301.0
14184,500000.0,1,3,1,37,0,0,0,0,0,0,83633.0,84491.0,85522.0,5053.0,6052.0,5038.0,7029.0,8018.0,4022.0
18201,480000.0,1,1,2,49,0,0,0,0,0,0,325772.0,320760.0,325841.0,17124.0,14706.0,15377.0,10481.0,11003.0,11303.0
16721,80000.0,1,2,1,31,0,0,0,0,0,0,53314.0,27962.0,27873.0,3000.0,2000.0,29000.0,2004.0,2000.0,2000.0
